row,backend,precision,variant,device,device_id,p50_ms,p90_ms,p95_ms,p99_ms,throughput_ips,cold_compile_s,rss_delta_mb,rel_error_vs_fp32,normalized_mse_vs_fp32,rel_error_vs_pytorch,error
PyTorch FP32,pytorch,FP32,pytorch,CPU,CPU,38.599,43.649,45.332,49.539,25.87,0.6,26.0,1.8898835016287784e-07,2.0798056610338524e-14,,
PyTorch FP32,pytorch,FP32,pytorch,iGPU,GPU.0,,,,,,,,1.8898835016287784e-07,2.0798056610338524e-14,,not measured
PyTorch FP32,pytorch,FP32,pytorch,NPU,,,,,,,,,1.8898835016287784e-07,2.0798056610338524e-14,,not measured
OpenVINO FP32,openvino,FP32,fp32,CPU,CPU,24.429,30.953,32.76,37.492,40.38,0.27,288.1,0.0,0.0,1.889883519897323e-07,
OpenVINO FP32,openvino,FP32,fp32,iGPU,GPU.0,46.423,88.99,113.596,121.518,20.98,0.87,160.8,0.0,0.0,1.889883519897323e-07,
OpenVINO FP32,openvino,FP32,fp32,NPU,,,,,,,,,0.0,0.0,1.889883519897323e-07,absent
OpenVINO FP16,openvino,FP16,fp16,CPU,CPU,30.028,35.684,37.554,40.86,32.8,0.3,226.2,0.0002130048277396075,3.740166957944262e-08,0.00021302981963235704,
OpenVINO FP16,openvino,FP16,fp16,iGPU,GPU.0,51.337,88.807,92.241,97.653,19.19,0.76,26.0,0.0002130048277396075,3.740166957944262e-08,0.00021302981963235704,
OpenVINO FP16,openvino,FP16,fp16,NPU,,,,,,,,,0.0002130048277396075,3.740166957944262e-08,0.00021302981963235704,absent
OpenVINO INT8 (NNCF),openvino,INT8,int8_ptq,CPU,CPU,10.265,13.086,14.074,16.285,94.95,0.53,106.0,0.0074320920145167085,4.167359792515907e-05,0.007432076913288316,
OpenVINO INT8 (NNCF),openvino,INT8,int8_ptq,iGPU,GPU.0,35.136,45.698,48.818,52.522,28.52,1.01,38.3,0.0074320920145167085,4.167359792515907e-05,0.007432076913288316,
OpenVINO INT8 (NNCF),openvino,INT8,int8_ptq,NPU,,,,,,,,,0.0074320920145167085,4.167359792515907e-05,0.007432076913288316,absent
OpenVINO INT8 weights,openvino,INT8,int8_weights,CPU,CPU,23.292,27.482,29.098,31.85,42.77,0.39,192.2,0.0030716399604020714,3.003967208927693e-06,0.0030716502079542935,
OpenVINO INT8 weights,openvino,INT8,int8_weights,iGPU,GPU.0,83.85,93.774,95.941,98.724,12.55,0.94,24.9,0.0030716399604020714,3.003967208927693e-06,0.0030716502079542935,
OpenVINO INT8 weights,openvino,INT8,int8_weights,NPU,,,,,,,,,0.0030716399604020714,3.003967208927693e-06,0.0030716502079542935,absent
